# wavelength,transmittance,std
3.773399999999999750e+02,3.671804857848660203e-02,1.352852281605209539e+00
3.783399999999999750e+02,2.440917698527808946e-02,8.870748306868518895e-01
3.793399999999999750e+02,1.661218378995222775e-02,5.884152418874476487e-01
3.803399999999999750e+02,1.160552597810675553e-02,3.917767639238001753e-01
3.813399999999999750e+02,8.355545693979827410e-03,2.579330087052622567e-01
3.823399999999999750e+02,6.080370256100581586e-03,1.630025569843802924e-01
3.833399999999999750e+02,4.438836794800718119e-03,9.935929452254632643e-02
3.843399999999999750e+02,3.245934222364662940e-03,6.802293683268256785e-02
3.853399999999999750e+02,2.332079451130111922e-03,6.528027316324842844e-02
3.863399999999999750e+02,1.612573576514897411e-03,7.065096627775700744e-02
3.873399999999999750e+02,1.064137302473220238e-03,6.914492138954099476e-02
3.883399999999999750e+02,6.713700493180310138e-04,5.920152482477743922e-02
3.893399999999999750e+02,3.966182789208426971e-04,4.346174823631478168e-02
3.903399999999999750e+02,2.135535980768469514e-04,2.690006695112479376e-02
3.913399999999999750e+02,1.082802143813883198e-04,1.424339960266955002e-02
3.923399999999999750e+02,5.294068561924373623e-05,6.798870874943254393e-03
3.933399999999999750e+02,2.610823877191346352e-05,3.090070962933102496e-03
3.943399999999999750e+02,1.520679635687502881e-05,1.453720023819708501e-03
3.953399999999999750e+02,1.098695297460295690e-05,1.072120124861050076e-03
3.963399999999999750e+02,9.208245409110717437e-06,9.443508293604080915e-04
3.973399999999999750e+02,8.782811667371656961e-06,9.819093586164197567e-04
3.983399999999999750e+02,7.549098283081198358e-06,1.120336553098947923e-03
3.993399999999999750e+02,6.105552982582836118e-06,9.824228493306532729e-04
4.003399999999999750e+02,6.359900795633508122e-06,1.084328422244019768e-03
4.013399999999999750e+02,7.457953216597559842e-06,1.039677053674513321e-03
4.023399999999999750e+02,8.448996806945268837e-06,9.841870067091959984e-04
4.033399999999999750e+02,7.921078719789149944e-06,9.742531034481821065e-04
4.043399999999999750e+02,7.760204533822309827e-06,1.053211088408178642e-03
4.053399999999999750e+02,6.807736328458147117e-06,9.072859934771331045e-04
4.063399999999999750e+02,6.461771445394539667e-06,9.167506428846707673e-04
4.073399999999999750e+02,6.536420114195086635e-06,9.257724793313819311e-04
4.083399999999999750e+02,7.152143122214026625e-06,9.682263836902861229e-04
4.093399999999999750e+02,7.250486464335830247e-06,1.083931772266427240e-03
4.103399999999999750e+02,7.657900109220643038e-06,1.019029350026361266e-03
4.113399999999999750e+02,8.536425036861667871e-06,9.498352555902087220e-04
4.123399999999999750e+02,8.412259929315408523e-06,1.075910221203058492e-03
4.133399999999999750e+02,6.895650604603027177e-06,1.044814877189344194e-03
4.143399999999999750e+02,8.652218893398301748e-06,1.005517234631590675e-03
4.153399999999999750e+02,8.101626553257741686e-06,1.002754857256198768e-03
4.163399999999999750e+02,7.821798598016964810e-06,1.048504589311233725e-03
4.173399999999999750e+02,7.814610038208370839e-06,1.000419837303750861e-03
4.183399999999999750e+02,7.772901653896451080e-06,1.051242644947311027e-03
4.193399999999999750e+02,7.430604486812964461e-06,1.019139180112735776e-03
4.203399999999999750e+02,8.013412290354916668e-06,9.545023835629934091e-04
4.213399999999999750e+02,7.334370190960831080e-06,9.418189115985623437e-04
4.223399999999999750e+02,8.083547344498807948e-06,1.023719401836192117e-03
4.233399999999999750e+02,8.691667151854481010e-06,9.812695751381071696e-04
4.243399999999999750e+02,7.972765578092954662e-06,9.793013900357596790e-04
4.253399999999999750e+02,7.497218723404278902e-06,9.102420282782162659e-04
4.263399999999999750e+02,8.059778266897513611e-06,9.453414975558590769e-04
4.273399999999999750e+02,7.971339639154241023e-06,9.177432661623624935e-04
4.283399999999999750e+02,7.928818324002941942e-06,8.639185295975260756e-04
4.293399999999999750e+02,7.820008727245989893e-06,9.519221889959636387e-04
4.303399999999999750e+02,8.861237801598232451e-06,9.279248842378100357e-04
4.313399999999999750e+02,9.172116994966291215e-06,8.124464787489320793e-04
4.323399999999999750e+02,8.132234508643282629e-06,8.728791347446820080e-04
4.333399999999999750e+02,8.494013368742196220e-06,8.898840996120295282e-04
4.343399999999999750e+02,8.389887549895507337e-06,9.223658094538994935e-04
4.353399999999999750e+02,7.583709517175756398e-06,9.915624327682770293e-04
4.363399999999999750e+02,8.607581401778718205e-06,9.776651908868915376e-04
4.373399999999999750e+02,8.426081826947966693e-06,1.136621912458297924e-03
4.383399999999999750e+02,8.139306820998315476e-06,1.031005806686372418e-03
