# wavelength,transmittance,std
5.680000000000000000e+02,2.963040782426830042e-04,2.201602721985632463e-02
5.690000000000000000e+02,1.880562950317175657e-04,1.318241865577639976e-02
5.700000000000000000e+02,1.242659579491269819e-04,8.302366706505616423e-03
5.710000000000000000e+02,8.414530303717434863e-05,5.100316884589850726e-03
5.720000000000000000e+02,5.826892521198096800e-05,3.463576711488231940e-03
5.730000000000000000e+02,4.241127423199515551e-05,2.374187793071069578e-03
5.740000000000000000e+02,3.059447297094293391e-05,1.900850421056933613e-03
5.750000000000000000e+02,2.563980700199411939e-05,1.351542328847552986e-03
5.760000000000000000e+02,2.007538049708330397e-05,1.126853131423070486e-03
5.770000000000000000e+02,1.653560724133445268e-05,1.054858887589838964e-03
5.780000000000000000e+02,1.431476474736135258e-05,9.893881386437220534e-04
5.790000000000000000e+02,1.232073463682108103e-05,9.177816909936873995e-04
5.800000000000000000e+02,1.204368047937115756e-05,9.360890055238477387e-04
5.810000000000000000e+02,1.068872499875148857e-05,8.923920866769474020e-04
5.820000000000000000e+02,9.921596701129854182e-06,9.679197729505720649e-04
5.830000000000000000e+02,9.992793073312950753e-06,1.000201999800060708e-03
5.840000000000000000e+02,9.043025963787456798e-06,9.084897001912214725e-04
5.850000000000000000e+02,9.209672390217390266e-06,9.987365756167878098e-04
5.860000000000000000e+02,7.891878409636923582e-06,9.561602502940730721e-04
5.870000000000000000e+02,7.813165187597309033e-06,1.080777871757563268e-03
5.880000000000000000e+02,8.033425368206906157e-06,9.754046039537343825e-04
5.890000000000000000e+02,9.484535899283849514e-06,1.037625494418225247e-03
